"1.1",22
"1.1.1",16
"1.1.2",19
"1.1.3",22
"1.1.4",21
"1.2",14
"1.2.1",11
"1.2.2",12
"1.2.3",14
"1.2.4",14
"1.3",5
"1.3.1",1
"1.3.2",2
"1.3.3",4
"1.3.4",5
"1.3.5",3
"2.1",8
"2.1.1",8
"2.1.2",8
"2.1.3",8
"2.1.4",8
"2.1.5",8
"2.1.6",8
"2.1.7",8
"2.1.8",8
"2.2",9
"2.2.1",9
"2.2.2",9
"2.2.3",9
"2.2.4",9
"2.2.5",9
"2.2.6",9
"2.2.7",9
"2.2.8",9
"2.3",7
"2.3.1",7
"2.3.2",7
"2.3.3",7
"2.3.4",7
"2.3.5",7
"2.3.6",7
"2.3.7",7
"2.3.8",7
"2.4",6
"2.4.1",6
"2.4.2",6
"2.4.3",6
"2.4.4",6
"2.4.5",6
"3",10
"3.1",10
"3.2",10
