1,"air","high population density"
2,"air","low population density"
3,"air","low population density, long-term"
4,"air","lower stratosphere + upper troposphere"
5,"air","unspecified"
6,"resource","biotic"
7,"resource","in air"
8,"resource","in ground"
9,"resource","in water"
10,"resource","land"
11,"soil","agricultural"
12,"soil","forestry"
13,"soil","industrial"
14,"soil","unspecified"
15,"water","fossil-"
16,"water","ground-"
17,"water","ground-, long-term"
18,"water","lake"
19,"water","ocean"
20,"water","river"
21,"water","river, long-term"
22,"water","unspecified"
23,"water","groundwater"
24,"final-waste-flow","unspecified"
