"1,4-Butanediol","kg","butylene glycol","kg",0,1.00
"2,4-D","kg","(2,4-dichlorophenoxy)acetic acid","kg",0,1.00
"2-Methyl pentane","kg","3-methylpentane","kg",1,1.00
"2-Methyl-1-propanol","kg","isobutanol","kg",0,1.00
"2-Methyl-2-butene","kg","2-methyl-2-butene","kg",0,1.00
"2-Propanol","kg","isopropanol","kg",0,1.00
"3-Methyl-1-butanol","kg","2-methyl-1-butanol","kg",1,1.00
"4-Methyl-2-pentanol","kg","pentanol","kg",1,1.00
"4-Methyl-2-pentanone","kg","methyl isobutyl ketone","kg",0,1.00
"Acenaphthene","kg","acenaphthene","kg",0,1.00
"Acenaphthylene","kg","acenaphthylene","kg",0,1.00
"Acephate","kg","acephate","kg",0,1.00
"Acetaldehyde","kg","acetaldehyde","kg",0,1.00
"Acetamide","kg","acetamide","kg",0,1.00
"Acetic acid","kg","acetic acid","kg",0,1.00
"Acetic acid, trifluoro-","kg","trifluoroacetic acid","kg",0,1.00
"Acetochlor","kg","acetochlor","kg",0,1.00
"Acetone","kg","acetone","kg",0,1.00
"Acetonitrile","kg","acetonitrile","kg",0,1.00
"Acidity, unspecified","kg","acid (as H+)","kg",0,1.00
"Aclonifen","kg","aclonifen","kg",0,1.00
"Acrolein","kg","acrolein","kg",0,1.00
"Acrylic acid","kg","acrylic acid","kg",0,1.00
"Acrylonitrile","kg","acryolonitrile","kg",0,1.00
"Alachlor","kg","lasso","kg",0,1.00
"Aldicarb","kg","aldicarb","kg",0,1.00
"Aldrin","kg","aldrin","kg",0,1.00
"Aluminium","kg","aluminium","kg",0,1.00
"Aluminium, 24% in bauxite, 11% in crude ore, in ground","kg","bauxite","kg",0,1.00
"Americium-241","kBq","americium-241","kBq",0,1.00
"Ametryn","kg","ametryne","kg",0,1.00
"Amidosulfuron","kg","amidosulfuron","kg",0,1.00
"Ammonia","kg","ammonia","kg",0,1.00
"Ammonium, ion","kg","ammonium","kg",0,1.00
"Anthraquinone","kg","2-aminoanthraquinone","kg",1,1.00
"Antimony","kg","antimony","kg",0,1.00
"Antimony-122","kBq","antimony-122","kBq",0,1.00
"Antimony-124","kBq","antimony-124","kBq",0,1.00
"Antimony-125","kBq","antimony-125","kBq",0,1.00
"AOX, Adsorbable Organic Halogen as Cl","kg","adsorbable organic halogen compounds","kg",0,1.00
"Argon-41","kBq","argon-41","kBq",0,1.00
"Arsenic","kg","arsenic","kg",0,1.00
"Arsenic, ion","kg","arsenic","kg",0,1.00
"Arsine","kg","hydrogen arsenide","kg",0,1.00
"Asulam","kg","asulam","kg",0,1.00
"Atrazine","kg","atrazine","kg",0,1.00
"Azinphos-methyl","kg","azinphos-methyl","kg",0,1.00
"Azoxystrobin","kg","azoxystrobin","kg",0,1.00
"Barite","kg","baryte","kg",0,1.00
"Barite, 15% in crude ore, in ground","kg","baryte","kg",0,1.00
"Barium","kg","barium","kg",0,1.00
"Barium-140","kBq","barium-140","kBq",0,1.00
"Basalt, in ground","kg","basalt","kg",0,1.00
"Benazolin","kg","1,2-benzisothiazolin-3-one","kg",1,1.00
"Benomyl","kg","benomyl","kg",0,1.00
"Bensulfuron methyl ester","kg","londax","kg",0,1.00
"Bentazone","kg","bentazone","kg",0,1.00
"Benzal chloride","kg","benzylchloride","kg",1,1.00
"Benzaldehyde","kg","benzaldehyde","kg",0,1.00
"Benzene","kg","benzene","kg",0,1.00
"Benzene, chloro-","kg","chlorobenzene","kg",0,1.00
"Benzene, ethyl-","kg","ethyl benzene","kg",0,1.00
"Benzene, hexachloro-","kg","hexachlorobenzene","kg",0,1.00
"Benzene, pentachloro-","kg","pentachlorobenzene","kg",0,1.00
"Benzo(a)pyrene","kg","benzo[a]pyrene","kg",0,1.00
"Benzyl alcohol","kg","alpha-methylbenzyl alcohol","kg",1,1.00
"Beryllium","kg","beryllium","kg",0,1.00
"Bifenox","kg","bifenox","kg",0,1.00
"Bifenthrin","kg","bifenthrin","kg",0,1.00
"BOD5, Biological Oxygen Demand","kg","biological oxygen demand","kg",0,1.00
"Borax, in ground","kg","borax","kg",0,1.00
"Boron","kg","boron","kg",0,1.00
"Boron carbide","kg","boron","kg",1,1.00
"Boron trifluoride","kg","boron","kg",1,1.00
"Bromate","kg","bromate","kg",0,1.00
"Bromide","kg","bromide","kg",0,1.00
"Bromine","kg","bromine","kg",0,1.00
"Bromoxynil","kg","bromoxynil","kg",0,1.00
"Bromuconazole","kg","bromuconazole","kg",0,1.00
"Butadiene","kg","butadiene","kg",0,1.00
"Butane","kg","n-butane","kg",0,1.00
"Butanol","kg","n-butanol","kg",0,1.00
"Butene","kg","butene","kg",0,1.00
"Butyl acetate","kg","n-butyl-acetate","kg",0,1.00
"Butyrolactone","kg","beta-butyrolactone","kg",1,1.00
"Cadmium","kg","cadmium","kg",0,1.00
"Cadmium, 0.30% in sulfide, Cd 0.18%, Pb, Zn, Ag, In, in ground","kg","cadmium","kg",0,1.00
"Cadmium, ion","kg","cadmium","kg",1,1.00
