"(1s)-(-)-alpha-pinene","kg","Terpenes","kg",1,1.00
"(2,4-dichlorophenoxy)acetic acid","kg","2,4-D","kg",0,1.00
"1,1,2-trichloroethane","kg","Ethane, 1,1,2-trichloro-","kg",0,1.00
"1,1-diallylhydrazine","kg","Hydrazine","kg",1,1.00
"1,1-dimethylhydrazine","kg","Hydrazine","kg",1,1.00
"1,1-di-n-butylhydrazine","kg","Hydrazine","kg",1,1.00
"1,1-methylenebis[4-isocyanato-cyclohexane]","kg","Hydrazine","kg",1,1.00
"1,2,3,4-tetrachlorobenzene","kg","Benzene, chloro-","kg",0,1.00
"1,2,3,5-tetrachlorobenzene","kg","Benzene, chloro-","kg",0,1.00
"1,2,3,7,8,9-hexachlorodibenzo-p-dioxin","kg","Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin","kg",1,1.00
"1,2,3-trichlorobenzene","kg","Benzene, chloro-","kg",0,1.00
"1,2,4,5-tetrachlorobenzene","kg","Benzene, chloro-","kg",0,1.00
"1,2,4-trichlorobenzene","kg","Benzene, chloro-","kg",0,1.00
"1,2-dichlorobenzene","kg","o-Dichlorobenzene","kg",0,1.00
"1,2-dichloroethane","kg","Ethane, 1,2-dichloro-","kg",0,1.00
"1,2-dichloroethylene","kg","Ethene, chloro-","kg",0,1.00
"1,3,5-trichlorobenzene","kg","Benzene, chloro-","kg",0,1.00
"1,3-dichlorobenzene","kg","Benzene, chloro-","kg",0,1.00
"1,3-diethyl-5-methylcyclohexane","kg","Cyclohexane","kg",1,1.00
"1,3-diethyl-5-pentylcyclohexane","kg","Cyclohexane","kg",1,1.00
"1,3-diethylcyclohexane","kg","Cyclohexane","kg",1,1.00
"1,3-dimethylcyclohexane","kg","Cyclohexane","kg",1,1.00
"1,3-dipropyl-5-ethylcyclohexane","kg","Cyclohexane","kg",1,1.00
"1,4-dichlorobenzene","kg","Benzene, chloro-","kg",0,1.00
"1-butene","kg","Butene","kg",0,1.00
"1-chloro-2-nitrobenzene","kg","Nitrobenzene","kg",1,1.00
"1-chloro-4-nitrobenzene","kg","Nitrobenzene","kg",1,1.00
"1-ethyl-2-methylbenzene","kg","Benzene, ethyl-","kg",1,1.00
"1-ethyl-3,5-dimethylbenzene","kg","Benzene, ethyl-","kg",1,1.00
"1-ethyl-3-methylbenzene","kg","Benzene, ethyl-","kg",1,1.00
"1-ethyl-4-methylcyclohexane","kg","Cyclohexane","kg",1,1.00
"1-nonene","kg","Hydrocarbons, aliphatic, unsaturated","kg",1,1.00
"1-octene","kg","Hydrocarbons, aliphatic, unsaturated","kg",1,1.00
"1-pentene","kg","Hydrocarbons, aliphatic, unsaturated","kg",1,1.00
"1-propylbromide","kg","Bromide","kg",1,1.00
"2,3,7,8-tetrachlorodibenzo-p-dioxin","kg","Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin","kg",0,1.00
"2-ethoxyethanol","kg","Ethylene glycol monoethyl ether","kg",1,1.00
"2-methyl-2-butene","kg","2-Methyl-2-butene","kg",0,1.00
"2-methyl-4,6-dinitrophenol","kg","DNOC","kg",0,1.00
"2-methyl-4-chlorophenoxyacetic acid","kg","MCPA","kg",0,1.00
"3-methyl-1-butanol","kg","3-Methyl-1-butanol","kg",0,1.00
"3-methylpentane","kg","2-Methyl pentane","kg",0,1.00
"3-methylpentane","kg","Methyl pentane","kg",0,1.00
"acenaphthene","kg","Acenaphthene","kg",0,1.00
"acenaphthylene","kg","Acenaphthylene","kg",0,1.00
"acephate","kg","Acephate","kg",0,1.00
"acetaldehyde","kg","Acetaldehyde","kg",0,1.00
"acetamide","kg","Acetamide","kg",0,1.00
"acetic acid","kg","Acetic acid","kg",0,1.00
"acetochlor","kg","Acetochlor","kg",0,1.00
"acetone","kg","Acetone","kg",0,1.00
"acetone [4-(5-nitro-2-furyl)-2-thiazolyl]hydrazone","kg","Acetone","kg",0,1.00
"acetonitrile","kg","Acetonitrile","kg",0,1.00
"acid (as H+)","kg","Acidity, unspecified","kg",0,1.00
"aclonifen","kg","Aclonifen","kg",0,1.00
"acrolein","kg","Acrolein","kg",0,1.00
"acrylic acid","kg","Acrylic acid","kg",0,1.00
"acryolonitrile","kg","Acrylonitrile","kg",0,1.00
"adsorbable organic halogen compounds","kg","AOX, Adsorbable Organic Halogen as Cl","kg",0,1.00
"aldicarb","kg","Aldicarb","kg",0,1.00
"aldoxycarb","kg","Aldicarb","kg",1,1.00
"aldrin","kg","Aldrin","kg",0,1.00
"allethrin","kg","Insecticides, unspecified","kg",1,1.00
"allyl alcohol","kg","2-Propanol","kg",0,1.00
"alpha-methylbenzyl alcohol","kg","Benzyl alcohol","kg",1,1.00
"aluminium","kg","Aluminium","kg",0,1.00
"americium-241","kBq","Americium-241","kBq",0,1.00
"ametryne","kg","Ametryn","kg",0,1.00
"amiben","kg","Herbicides, unspecified","kg",1,1.00
"amidosulfuron","kg","Amidosulfuron","kg",0,1.00
"aminoparathion","kg","Parathion","kg",1,1.00
"amitraz","kg","Insecticides, unspecified","kg",1,1.00
"amitrole","kg","Herbicides, unspecified","kg",1,1.00
"ammonia","kg","Ammonia","kg",0,1.00
"ammonium","kg","Ammonium, ion","kg",0,1.00
"anilazine","kg","Fungicides, unspecified","kg",1,1.00
"anthracene","kg","PAH, polycyclic aromatic hydrocarbons","kg",1,1.00
"antimonite","kg","Stibnite, in ground","kg",0,1.00
"antimony","kg","Antimony","kg",0,1.00
"antimony-122","kBq","Antimony-122","kBq",0,1.00
"antimony-124","kBq","Antimony-124","kBq",0,1.00
"antimony-125","kBq","Antimony-125","kBq",0,1.00
"aramite","kg","Insecticides, unspecified","kg",1,1.00
"argon-41","kBq","Argon-41","kBq",0,1.00
"arsenic","kg","Arsenic","kg",0,1.00
"arsenic","kg","Arsenic, ion","kg",0,1.00
"arsenic trioxide","kg","Arsenic","kg",1,1.00
"asbestos (white)","kg","Chrysotile, in ground","kg",0,1.00
"asulam","kg","Asulam","kg",0,1.00
"atrazine","kg","Atrazine","kg",0,1.00
"avermectin B1","kg","Insecticides, unspecified","kg",1,1.00
"azinphos-ethyl","kg","Azinphos-methyl","kg",1,1.00
"azinphos-methyl","kg","Azinphos-methyl","kg",0,1.00
"azoxystrobin","kg","Azoxystrobin","kg",0,1.00
"barium","kg","Barium","kg",0,1.00
"barium sulfate","kg","Barite","kg",0,1.00
"barium-140","kBq","Barium-140","kBq",0,1.00
"baryte","kg","Barite","kg",0,1.00
"baryte","kg","Barite, 15% in crude ore, in ground","kg",0,1.00
"basalt","kg","Basalt, in ground","kg",0,1.00
"bauxite","kg","Aluminium, 24% in bauxite, 11% in crude ore, in ground","kg",0,1.00
"benefin","kg","Herbicides, unspecified","kg",1,1.00
"benomyl","kg","Benomyl","kg",0,1.00
"bentazone","kg","Bentazone","kg",0,1.00
"bentonite","kg","Clay, bentonite, in ground","kg",0,1.00
"benzaldehyde","kg","Benzaldehyde","kg",0,1.00
"benzene","kg","Benzene","kg",0,1.00
"benzo[a]pyrene","kg","Benzo(a)pyrene","kg",0,1.00
"beryllium","kg","Beryllium","kg",0,1.00
"beta-1,2,3,4,5,6-hexachlorocyclohexane","kg","Cyclohexane","kg",1,1.00
"beta-butyrolactone","kg","Butyrolactone","kg",0,1.00
"betasan","kg","Herbicides, unspecified","kg",1,1.00
"Bidrin","kg","Dicrotophos","kg",0,1.00
"bifenox","kg","Bifenox","kg",0,1.00
"bifenthrin","kg","Bifenthrin","kg",0,1.00
"biological oxygen demand","kg","BOD5, Biological Oxygen Demand","kg",0,1.00
"bispyribac-sodium","kg","Herbicides, unspecified","kg",1,1.00
"borax","kg","Borax, in ground","kg",0,1.00
"boron","kg","Boron","kg",0,1.00
"bromacil","kg","Herbicides, unspecified","kg",1,1.00
"bromate","kg","Bromate","kg",0,1.00
"bromide","kg","Bromide","kg",0,1.00
"bromine","kg","Bromine","kg",0,1.00
"bromoxynil","kg","Bromoxynil","kg",0,1.00
"bromoxynil heptanoate","kg","Bromoxynil","kg",1,1.00
"bromoxynil octanoate","kg","Bromoxynil","kg",1,1.00
"bromuconazole","kg","Bromuconazole","kg",0,1.00
